*Parameter,Technology,
c_m_dsm_shift,DSM_shift1,1
c_m_dsm_shift,DSM_shift2,1
c_m_dsm_shift,DSM_shift3,50
c_m_dsm_shift,DSM_shift4,0.5
c_m_dsm_shift,DSM_shift5,0.5
c_fix_dsm_shift,DSM_shift1,0
c_fix_dsm_shift,DSM_shift2,0
c_fix_dsm_shift,DSM_shift3,0
c_fix_dsm_shift,DSM_shift4,0
c_fix_dsm_shift,DSM_shift5,0
c_inv_overnight_dsm_shift,DSM_shift1,30000
c_inv_overnight_dsm_shift,DSM_shift2,100000
c_inv_overnight_dsm_shift,DSM_shift3,10000
c_inv_overnight_dsm_shift,DSM_shift4,834723
c_inv_overnight_dsm_shift,DSM_shift5,30000
inv_recovery_dsm_shift,DSM_shift1,10
inv_recovery_dsm_shift,DSM_shift2,10
inv_recovery_dsm_shift,DSM_shift3,10
inv_recovery_dsm_shift,DSM_shift4,10
inv_recovery_dsm_shift,DSM_shift5,10
inv_interest_dsm_shift,DSM_shift1,0.07
inv_interest_dsm_shift,DSM_shift2,0.07
inv_interest_dsm_shift,DSM_shift3,0.07
inv_interest_dsm_shift,DSM_shift4,0.07
inv_interest_dsm_shift,DSM_shift5,0.07
m_dsm_shift,DSM_shift1,116000
m_dsm_shift,DSM_shift2,116000
m_dsm_shift,DSM_shift3,1385
m_dsm_shift,DSM_shift4,1450.75
m_dsm_shift,DSM_shift5,5000
t_dur_dsm_shift,DSM_shift1,4
t_dur_dsm_shift,DSM_shift2,8
t_dur_dsm_shift,DSM_shift3,3
t_dur_dsm_shift,DSM_shift4,4
t_dur_dsm_shift,DSM_shift5,12
t_off_dsm_shift,DSM_shift1,1
t_off_dsm_shift,DSM_shift2,1
t_off_dsm_shift,DSM_shift3,1
t_off_dsm_shift,DSM_shift4,1
t_off_dsm_shift,DSM_shift5,1
eta_dsm_shift,DSM_shift1,0.7
eta_dsm_shift,DSM_shift2,0.9
eta_dsm_shift,DSM_shift3,1
eta_dsm_shift,DSM_shift4,1
eta_dsm_shift,DSM_shift5,1
*Sources: Zerrahn, A. and W.-P. Schill, A greenfield model to evaluate long-run power storage requirements for high shares of renewables. DIW Discussion Paper 1457
