dummy,dummy,PR_up,PR_do,SR_up,SR_do,MR_up,MR_do
2013,h1,0,0,0,0,0,0
2013,h2,0.05,0.05,0.077639084,0.289645596,0.049631595,0.083493058
2013,h3,0.05,0.05,0.076647718,0.301979562,0.049631595,0.083493058
2013,h4,0.05,0.05,0.079382521,0.318182717,0.049631595,0.083493058
2013,h5,0.05,0.05,0.082219878,0.333565583,0.053775076,0.091017406
2013,h6,0.05,0.05,0.082322433,0.340300838,0.058498214,0.093866556
2013,h7,0.05,0.05,0.087958079,0.359676431,0.06126769,0.098269789
2013,h8,0.05,0.05,0.095376231,0.385851518,0.067691158,0.105008461
2013,h9,0.05,0.05,0.101798133,0.405266643,0.075170892,0.128496685
2013,h10,0.05,0.05,0.104230153,0.412268738,0.082727913,0.14760326
2013,h11,0.05,0.05,0.102794382,0.399485096,0.089838383,0.163165665
2013,h12,0.05,0.05,0.101466049,0.395635674,0.091298262,0.166619181
2013,h13,0.05,0.05,0.101158384,0.393777672,0.093101642,0.181598805
2013,h14,0.05,0.05,0.102027661,0.402361045,0.091667525,0.193746546
2013,h15,0.05,0.05,0.103590405,0.415964975,0.086369023,0.19885775
2013,h16,0.05,0.05,0.103424363,0.422724937,0.092543453,0.219574527
2013,h17,0.05,0.05,0.104064112,0.432840172,0.093539606,0.229796933
2013,h18,0.05,0.05,0.101519769,0.437702601,0.097197891,0.236203205
2013,h19,0.05,0.05,0.101851852,0.446483634,0.103419552,0.246922054
2013,h20,0.05,0.05,0.102071613,0.448316928,0.109654095,0.25764522
2013,h21,0.05,0.05,0.099370995,0.440272177,0.115038472,0.267461839
2013,h22,0.05,0.05,0.094819503,0.426959796,0.115751237,0.272693915
2013,h23,0.05,0.05,0.09287584,0.417595667,0.118056987,0.278711666
2013,h24,0.05,0.05,0.089066651,0.40667991,0.117979699,0.278659863
2013,h25,0.05,0.05,0.089403618,0.407500198,0.11868817,0.27941532
2013,h26,0.05,0.05,0.08737205,0.40227704,0.121483409,0.278249758
2013,h27,0.05,0.05,0.08716694,0.402257274,0.128018515,0.279216743
2013,h28,0.05,0.05,0.085399086,0.396836456,0.135068872,0.283568172
2013,h29,0.05,0.05,0.087538092,0.400962603,0.137481966,0.280395255
2013,h30,0.05,0.05,0.092450969,0.412683824,0.141552453,0.286956935
2013,h31,0.05,0.05,0.089579426,0.405854681,0.148014564,0.299281669
2013,h32,0.05,0.05,0.087103454,0.393530598,0.15187895,0.313346111
2013,h33,0.05,0.05,0.083025668,0.379353455,0.155047747,0.31590603
2013,h34,0.05,0.05,0.074376856,0.358618952,0.151634206,0.314062716
2013,h35,0.05,0.05,0.068101461,0.349348711,0.1474392,0.300119146
2013,h36,0.05,0.05,0.062265588,0.335245691,0.141767141,0.284820072
2013,h37,0.05,0.05,0.055365096,0.321819655,0.132776003,0.25422624
2013,h38,0.05,0.05,0.053973277,0.313760081,0.12546802,0.228691808
2013,h39,0.05,0.05,0.052620527,0.305606618,0.121844085,0.21414819
2013,h40,0.05,0.05,0.052014963,0.304203234,0.114518927,0.19236514
2013,h41,0.05,0.05,0.051380098,0.298653937,0.113522774,0.182142734
2013,h42,0.05,0.05,0.053631427,0.303071632,0.109864489,0.175736462
2013,h43,0.05,0.05,0.055409048,0.30832938,0.104930956,0.165017613
2013,h44,0.05,0.05,0.058163385,0.312554356,0.099984542,0.154294447
2013,h45,0.05,0.05,0.060932372,0.317273482,0.09375,0.143571281
2013,h46,0.05,0.05,0.064429012,0.326435009,0.090430922,0.131224962
2013,h47,0.05,0.05,0.066792663,0.33560642,0.09061126,0.123618594
2013,h48,0.05,0.05,0.068213783,0.341733871,0.094441296,0.124494923
2013,h49,0.05,0.05,0.069039108,0.344590054,0.098636301,0.125004317
2013,h50,0.05,0.05,0.066602203,0.334543999,0.096038575,0.128000242
2013,h51,0.05,0.05,0.064365526,0.328174415,0.089503469,0.127033257
2013,h52,0.05,0.05,0.062622089,0.325006918,0.082453112,0.122681828
2013,h53,0.05,0.05,0.057298992,0.308171252,0.075896538,0.118330398
2013,h54,0.05,0.05,0.052176121,0.293672913,0.067102913,0.108919568
2013,h55,0.05,0.05,0.050706165,0.28972466,0.057871325,0.092191601
2013,h56,0.05,0.05,0.047336498,0.282094995,0.048257591,0.07285623
2013,h57,0.05,0.05,0.048952961,0.282337128,0.042894683,0.062297106
2013,h58,0.05,0.05,0.051238475,0.287239089,0.036630084,0.042573215
2013,h59,0.05,0.05,0.051497304,0.278690307,0.030863561,0.035070452
2013,h60,0.05,0.05,0.052894007,0.269983397,0.027037819,0.032393977
2013,h61,0.05,0.05,0.056161119,0.262882472,0.026187655,0.031293169
2013,h62,0.05,0.05,0.057103649,0.266168564,0.025397602,0.028746201
2013,h63,0.05,0.05,0.060302391,0.27495948,0.025002576,0.027472717
2013,h64,0.05,0.05,0.06229489,0.281195644,0.025002576,0.027472717
2013,h65,0.05,0.05,0.072013205,0.282065346,0.025002576,0.027472717
2013,h66,0.05,0.05,0.081130841,0.271297834,0.028866962,0.027472717
2013,h67,0.05,0.05,0.086116971,0.256507946,0.032503779,0.027472717
2013,h68,0.05,0.05,0.084827707,0.244188805,0.03121565,0.027472717
2013,h69,0.05,0.05,0.081726637,0.240986717,0.035913026,0.027472717
2013,h70,0.05,0.05,0.081746171,0.239499328,0.037256973,0.030019685
2013,h71,0.05,0.05,0.079270198,0.232991382,0.033212249,0.02916494
2013,h72,0.05,0.05,0.080925731,0.224887334,0.030305372,0.029346249
2013,h73,0.05,0.05,0.08240057,0.219624644,0.028149904,0.029635481
2013,h74,0.05,0.05,0.082810791,0.227437144,0.027351264,0.026380543
2013,h75,0.05,0.05,0.084773988,0.233554712,0.027351264,0.026380543
2013,h76,0.05,0.05,0.084490741,0.229048071,0.027351264,0.026380543
2013,h77,0.05,0.05,0.085110955,0.235165639,0.027351264,0.026380543
2013,h78,0.05,0.05,0.084925379,0.234365117,0.027351264,0.026380543
2013,h79,0.05,0.05,0.083250313,0.228445209,0.027351264,0.026380543
2013,h80,0.05,0.05,0.081638733,0.223340647,0.028287304,0.022560091
2013,h81,0.05,0.05,0.078640217,0.219382511,0.027235333,0.007071073
2013,h82,0.05,0.05,0.080085756,0.222406705,0.033796201,0.011616763
2013,h83,0.05,0.05,0.083787506,0.237809337,0.040786445,0.019024554
2013,h84,0.05,0.05,0.082976832,0.247954222,0.047862565,0.028331779
2013,h85,0.05,0.05,0.080085756,0.253404688,0.054938685,0.037639004
2013,h86,0.05,0.05,0.080344585,0.253602348,0.060967127,0.0492385
2013,h87,0.05,0.05,0.077316768,0.242390101,0.067201669,0.062413662
2013,h88,0.05,0.05,0.075373105,0.235768501,0.073161411,0.071012916
2013,h89,0.05,0.05,0.065767112,0.232037674,0.078313926,0.079525832
2013,h90,0.05,0.05,0.055770433,0.232437935,0.077738561,0.087887657
2013,h91,0.05,0.05,0.049812471,0.244747193,0.075325467,0.090348287
2013,h92,0.05,0.05,0.054261408,0.264117845,0.077850199,0.091988707
2013,h93,0.05,0.05,0.056263674,0.265397691,0.07602535,0.094449337
2013,h94,0.05,0.05,0.053987928,0.260080645,0.076222863,0.09254127
2013,h95,0.05,0.05,0.05355329,0.25595944,0.076222863,0.09254127
2013,h96,0.05,0.05,0.05046687,0.255237982,0.074591234,0.091159863
2013,h97,0.05,0.05,0.047429286,0.252124842,0.071843226,0.089605781
2013,h98,0.05,0.05,0.051326379,0.258662437,0.071843226,0.089605781
2013,h99,0.05,0.05,0.051853805,0.258390655,0.071843226,0.089605781
2013,h100,0.05,0.05,0.052981911,0.266425522,0.071843226,0.089605781
2013,h101,0.05,0.05,0.052522855,0.263534749,0.071843226,0.089605781
2013,h102,0.05,0.05,0.053201672,0.266208096,0.071843226,0.089605781
2013,h103,0.05,0.05,0.055311377,0.274223197,0.071843226,0.089605781
2013,h104,0.05,0.05,0.05598531,0.277069497,0.072070796,0.091142596
2013,h105,0.05,0.05,0.054173504,0.268752965,0.067837146,0.091142596
2013,h106,0.05,0.05,0.050901508,0.25880574,0.068841887,0.085124845
2013,h107,0.05,0.05,0.04724371,0.251487389,0.068837593,0.078364588
2013,h108,0.05,0.05,0.049504805,0.257511069,0.068747424,0.069704897
2013,h109,0.05,0.05,0.05041315,0.261227071,0.071555544,0.061045207
2013,h110,0.05,0.05,0.050652446,0.263124605,0.068232172,0.049445711
2013,h111,0.05,0.05,0.052425184,0.272182361,0.06199763,0.036270548
2013,h112,0.05,0.05,0.052659595,0.268056214,0.056037888,0.027671294
2013,h113,0.05,0.05,0.05349957,0.265521229,0.050885374,0.019158378
2013,h114,0.05,0.05,0.059677293,0.265313686,0.047596352,0.010796553
2013,h115,0.05,0.05,0.060067979,0.255845786,0.045084501,0.008335923
2013,h116,0.05,0.05,0.053494687,0.234666548,0.042559769,0.006695504
2013,h117,0.05,0.05,0.050833138,0.229809061,0.039687242,0.004234874
2013,h118,0.05,0.05,0.052195656,0.234384883,0.036569971,0.003509635
2013,h119,0.05,0.05,0.054764416,0.245315465,0.036569971,0.003509635
2013,h120,0.05,0.05,0.055565323,0.25271288,0.036569971,0.003509635
2013,h121,0.05,0.05,0.057015745,0.262358673,0.036569971,0.003509635
2013,h122,0.05,0.05,0.056434599,0.2618497,0.036569971,0.003509635
2013,h123,0.05,0.05,0.05699621,0.264646584,0.036569971,0.003509635
2013,h124,0.05,0.05,0.056903422,0.266326692,0.036569971,0.003509635
2013,h125,0.05,0.05,0.061757697,0.279545185,0.036569971,0.003509635
2013,h126,0.05,0.05,0.06627012,0.295091121,0.040921073,0.004805346
2013,h127,0.05,0.05,0.067559384,0.298609464,0.047692339,0.011309391
2013,h128,0.05,0.05,0.069146546,0.294685919,0.051792111,0.014840718
2013,h129,0.05,0.05,0.069258869,0.291879151,0.058511423,0.023711028
2013,h130,0.05,0.05,0.069459095,0.300314279,0.052009743,0.024105633
2013,h131,0.05,0.05,0.071099977,0.308270082,0.05107204,0.029974888
2013,h132,0.05,0.05,0.068062393,0.30571533,0.052389982,0.034144849
2013,h133,0.05,0.05,0.067114979,0.311234978,0.048307211,0.035196608
2013,h134,0.05,0.05,0.067422644,0.317658918,0.050156726,0.037299483
2013,h135,0.05,0.05,0.065298289,0.317723158,0.055507932,0.039338635
2013,h136,0.05,0.05,0.064746445,0.3269341,0.061400319,0.041738887
2013,h137,0.05,0.05,0.063759962,0.338378597,0.067292706,0.044139138
2013,h138,0.05,0.05,0.055345562,0.344387453,0.073167775,0.047287079
2013,h139,0.05,0.05,0.05430536,0.355891248,0.076514443,0.049415443
2013,h140,0.05,0.05,0.054798601,0.368190623,0.082389512,0.052563384
2013,h141,0.05,0.05,0.054530005,0.372875158,0.08986215,0.056990042
2013,h142,0.05,0.05,0.054149086,0.372272296,0.096468897,0.05927984
2013,h143,0.05,0.05,0.054344429,0.373695446,0.096468897,0.05927984
2013,h144,0.05,0.05,0.05584857,0.376205724,0.098460446,0.05927984
2013,h145,0.05,0.05,0.056375996,0.372603376,0.102443544,0.05927984
2013,h146,0.05,0.05,0.053230974,0.366945367,0.103136257,0.062848355
2013,h147,0.05,0.05,0.050476637,0.358134685,0.104521682,0.069985386
