dummy,dummy,dummy,Wind_on,Wind_off,Solar
2013,IND,h1,0.192227007,0,0
2013,IND,h2,0.179759796,0,0
2013,IND,h3,0.165203333,0,0
2013,IND,h4,0.155629524,0,0
2013,IND,h5,0.151076667,0,0
2013,IND,h6,0.25544449,0,0
2013,IND,h7,0.273468163,0,0
2013,IND,h8,0.258337347,0,0.09
2013,IND,h9,0.239673469,0,0.35
2013,IND,h10,0.271386259,0,0.57
2013,IND,h11,0.265972381,0,0.73
2013,IND,h12,0.231092993,0,0.82
2013,IND,h13,0.198914558,0,0.77
2013,IND,h14,0.176668435,0,0.8
2013,IND,h15,0.164008776,0,0.66
2013,IND,h16,0.161623333,0,0.52
2013,IND,h17,0.173947823,0,0.28
2013,IND,h18,0.230777415,0,0.03
2013,IND,h19,0.306931156,0,0
2013,IND,h20,0.372304286,0,0
2013,IND,h21,0.416510068,0,0
2013,IND,h22,0.437473197,0,0
2013,IND,h23,0.437672109,0,0
2013,IND,h24,0.439267891,0,0
2013,IND,h25,0.445931497,0,0
2013,IND,h26,0.446940408,0,0
2013,IND,h27,0.429692313,0,0
2013,IND,h28,0.399560204,0,0
2013,IND,h29,0.368966054,0,0
2013,IND,h30,0.347514082,0,0
2013,IND,h31,0.315057211,0,0
2013,IND,h32,0.273813401,0,0.09
2013,IND,h33,0.283542993,0,0.36
2013,IND,h34,0.325169932,0,0.59
2013,IND,h35,0.279296735,0,0.75
2013,IND,h36,0.225971633,0,0.84
2013,IND,h37,0.201373537,0,0.84
2013,IND,h38,0.190047143,0,0.81
2013,IND,h39,0.185939456,0,0.7
2013,IND,h40,0.190970612,0,0.55
2013,IND,h41,0.205880544,0,0.29
2013,IND,h42,0.260286599,0,0.02
2013,IND,h43,0.331823673,0,0
2013,IND,h44,0.39268102,0,0
2013,IND,h45,0.419750136,0,0
2013,IND,h46,0.423766259,0,0
2013,IND,h47,0.414696327,0,0
2013,IND,h48,0.401569456,0,0
2013,IND,h49,0.38019102,0,0
2013,IND,h50,0.349056531,0,0
2013,IND,h51,0.312988231,0,0
2013,IND,h52,0.291689796,0,0
2013,IND,h53,0.28336449,0,0
2013,IND,h54,0.277400476,0,0
